cid,text,time,author,channel,votes,photo,heart,reply,time_parsed,pred_class,pred_nonbull,pred_bull
UgzQ3CTkOjarab1NgjV4AaABAg,Suka buka aib temen 😡 dan suka fitnah.nauzdubillah😟,2 tahun yang lalu,nayla tul.muyessaroh,UCOS1OluZ7XVed2yXLrPtG0A,8,https://yt3.ggpht.com/ytc/AGIKgqMe6K2JJvu3xhmw_sSVn9KV9LM3gyYcz3s8sg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.245817,Bull,12.82%,87.18%
Ugw73TZuHV8RtqbdNIZ4AaABAg,yaudah sih biarin aja tinggal tunggu aja video full versionnya wkwkwkw,2 tahun yang lalu,Lintas Star,UCd0LcPcIzfEI_hqiXhY12Sw,27,https://yt3.ggpht.com/ytc/AGIKgqOL8xIbqD61aaoZQj40A-OXkoeIwMOm54KLgOI50Q=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.245817,Non-Bull,39.55%,60.45%
Ugx8wCgQDENW5NaN0m54AaABAg,Anjayy ini dua manusia nakal y jujur..gw suka😂😂,2 tahun yang lalu,Galuh Utami,UCeYYAX6O7vVMkaaJzcPqrzw,3,https://yt3.ggpht.com/ytc/AGIKgqO140zacQ5bgaOoGek4ewvTrAQDCtptWnIcTw=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.256831,Non-Bull,99.9%,0.1%
UgzYy75PyR8xgJ7rKnN4AaABAg,cucok.mereka berdua..pasangan serasi banget....dua duanya hobi bertato ....cucok pokoknya..,2 tahun yang lalu,Rieka Pikmiandri,UCRVIic9CIsiCnqVnoDVyBEw,6,https://yt3.ggpht.com/ytc/AGIKgqMrLxOD6B7mxGzTbCl0-dM5wkbJBD1I7v20lQ=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.261447,Non-Bull,78.82%,21.18%
UgwBmCOqJ7jl4LdzdWt4AaABAg,G kn nyangka dia pernah berhijab,2 tahun yang lalu,perempuan biasa,UCqhe6gjEgVMvJZeN6No872g,1,https://yt3.ggpht.com/ytc/AGIKgqPodEkViPQNXdLx0dIojCliH1Rnp_B7b78soxpyAg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.262478,Non-Bull,39.55%,60.45%
UgxlyHju9OB-fCvlb3F4AaABAg,Hati hati bg gofar..  😂,2 tahun yang lalu,Belli Susandro Pinem,UCB6EBCjmv86edllydw7uvMA,28,https://yt3.ggpht.com/dd_FREROJISkP6pKoYJo0s7-RkAteR3UTEinfMqN28mY9Ir_etDincIrokc44VAHS7h0lWvQ99Y=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.262478,Non-Bull,36.71%,63.29%
UgxPdDJCSClfdUDEMld4AaABAg,bikin baper mereka hihihi,2 tahun yang lalu,Skynara 89,UCQyEDys8A9WdTc2XH0SKwDw,0,https://yt3.ggpht.com/ytc/AGIKgqOdfQt6zIijJpunLZPSZCWh2NV5TEOMu368xB5L8Fg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.272494,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg,"Ini yah orang yang selalu umbar aib org tp aib sendiri lebih borok
Astagfirullah...",2 tahun yang lalu,Lhya Mozha,UCtWjycrwemkaX7ft-eJIpsw,71,https://yt3.ggpht.com/ytc/AGIKgqPcxlbPZAEri3uXi9n-7VhrZsIKMTL2S_aQXcZR=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.278662,Non-Bull,39.55%,60.45%
Ugyc0b0CD4mcQX8-CNF4AaABAg,"Waduh, semoga nikah aja",2 tahun yang lalu,Siti nurhasila,UC3MM1kogk49oK9XqlRL1iog,0,https://yt3.ggpht.com/ytc/AGIKgqMcMGezHDdHZbLAy5fNf6WHxpQJ8UfnJJR3lg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.279694,Non-Bull,39.55%,60.45%
UgzU4bW31ULgNZNnPaV4AaABAg.9CDTca6YMNe9CDq4uaURL4,Yg saya tau dlm agama.  Aib sendiri itu harus disembunyikan. Biarlah menjadi rahasia sendiri.,2 tahun yang lalu,Fitri Zahro,UC8x38tgNB028ozfbFI1JY1Q,0,https://yt3.ggpht.com/ytc/AGIKgqO0gSaY7utjohXcDa8Abwiapd7KOBxfrW6kHX33=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.029685,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59Bzxtbot3ye,"Kayak bener aja hidup lu tong,",2 tahun yang lalu,Roy Julianto,UCltxTVcnO6dwCmGDDcXIzvg,7,https://yt3.ggpht.com/Max26BJomkIkrfYnFRI2Pkx1JZoF7bFSTSkkmmDbpfxxsvIHLuH911v9Q6ULMPMvpW7S847pJA=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.495549,Bull,3.6%,96.4%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C-hrqwXl0C,lahh lu ngapain ngurusin idup orang? urus diri sendiri,2 tahun yang lalu,Januarta 23,UC-4TXPODeQyvnl6G_d6aDpQ,4,https://yt3.ggpht.com/ytc/AGIKgqOOvmUCSXGaRLgVLazzrrRr7vLkcZUez21PPw=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.495549,Non-Bull,73.14%,26.86%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C1PR78fFmK,Kyk hidup paling suci aja lu,2 tahun yang lalu,bayu mahardikaa,UCKEFFkipEHIxmLjr7Que9Xw,3,https://yt3.ggpht.com/ytc/AGIKgqOm7jQSi5dsPdigqs8tLGB9_f85f2rrvJEkQP8k=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.506594,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C2Z8_UMhUd,"Kalian aja ngapain ngurusin komenan orang buambuang!!!!! 
Dia mau komen apa aja jg hak dia kalee, bukan masalah siapa paling suci, tp seeengaknya qt sbg manusia jgn pernah mengumbar aib orang lain, kalo aib qt di umbar sm Allah langsung, tamat lu pada!!!",2 tahun yang lalu,Sara Carbonero,UCKqsJXfejqbdQqo5hebF1bA,12,https://yt3.ggpht.com/ytc/AGIKgqPOkXMyP3YPWkkdv7hZCR0vd-7TG-8owJh321RBDg=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.512066,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C2ZkSSw28U,Sara Carbonero trus elu ngapain ngurusin commenan orang juga pea ?,2 tahun yang lalu,bayu mahardikaa,UCKEFFkipEHIxmLjr7Que9Xw,4,https://yt3.ggpht.com/ytc/AGIKgqOm7jQSi5dsPdigqs8tLGB9_f85f2rrvJEkQP8k=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.512066,Bull,12.82%,87.18%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C2f1hs3X1l, @Sara Carbonero  apasi apasi ..,2 tahun yang lalu,surya arnawa,UCjYeT-5xQwsSizqH5j9dApA,0,https://yt3.ggpht.com/ytc/AGIKgqP0BiojbYtB1rRHA_VSfyyyQigNvvOhNyz-o4A=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.512066,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C2gb7lUxV_,"Aib situ yg diumbar Ama dia? Kl gak ,ya ga usah sewot lah",2 tahun yang lalu,MINUMLAGI,UClASP6iStDEQ8IrDhCDz4hQ,1,https://yt3.ggpht.com/j_RIVrs3VcT6pDiW8DCK1qhoXqT3LEGbL5P7fKGMBobNQl9Yzwg-c08LFTRAFuDaq-2XuNl-LQ=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.525506,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C2ghmmWdBm, @Sara Carbonero  jgn bawa TUHAN kalo mo julid,2 tahun yang lalu,MINUMLAGI,UClASP6iStDEQ8IrDhCDz4hQ,1,https://yt3.ggpht.com/j_RIVrs3VcT6pDiW8DCK1qhoXqT3LEGbL5P7fKGMBobNQl9Yzwg-c08LFTRAFuDaq-2XuNl-LQ=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.528842,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C2zoJEOsQG," @bayu mahardikaa  gw bknnya ngurusin komenan org tp gw ngejelasin sdikit klo aib qt gk mw d buka sm Allah jgn prnh buka aib org lain, belajar yg bnr makanya lu !!!",2 tahun yang lalu,Sara Carbonero,UCKqsJXfejqbdQqo5hebF1bA,3,https://yt3.ggpht.com/ytc/AGIKgqPOkXMyP3YPWkkdv7hZCR0vd-7TG-8owJh321RBDg=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.528842,Bull,14.17%,85.83%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C3hhIAvhim,Sara Carbonero bawa tuhan tp ngomongnya gtu 🤣🤣🤣,2 tahun yang lalu,bayu mahardikaa,UCKEFFkipEHIxmLjr7Que9Xw,1,https://yt3.ggpht.com/ytc/AGIKgqOm7jQSi5dsPdigqs8tLGB9_f85f2rrvJEkQP8k=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.936639,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C55v1CuYl2,"Dia khn ngomng punya rumah dr hasil berantem,kle berantem jalannya dia kaya,ya kita doakan sja mati sdh tobat",2 tahun yang lalu,tapak suci,UCkOrhXkRjysqOrzhaKoRXUQ,2,https://yt3.ggpht.com/ytc/AGIKgqML1CjpyGX212FhUXllNiOuBGEJmlfc5vvi7KzZ=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.94452,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C7Ts7Zt4xr,Mlh berantem pade...ngakak,2 tahun yang lalu,Sri Ganefiarti,UC-z43Ox1zHOjlJT27SIE9xw,1,https://yt3.ggpht.com/ytc/AGIKgqPqxeYNPSlZ4yvPgizKmkK25eQsjkQSj3w7cQ=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.94452,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59C7UIiTiD3l,Sri Ganefiarti wkwkwkw ga ngerti lg,2 tahun yang lalu,bayu mahardikaa,UCKEFFkipEHIxmLjr7Que9Xw,1,https://yt3.ggpht.com/ytc/AGIKgqOm7jQSi5dsPdigqs8tLGB9_f85f2rrvJEkQP8k=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.952567,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59CAvx1NtVSy,benar,2 tahun yang lalu,Babayaga Babayaga,UCmzSISBTnoXrQNw7mhuZfvg,0,https://yt3.ggpht.com/ytc/AGIKgqPlNmUGIW-TDvMvzkpdZoJ7HwxSJAltXXMh_g=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.952567,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59CBCkFC2N3M,Yaelah ngapah jd lu pda yg berantem  sih 😂😂,2 tahun yang lalu,Hayatun Nupus,UCoUxvH2r69KJX_T9JSrSGfQ,0,https://yt3.ggpht.com/ytc/AGIKgqP3sb-AzE1HI_SDyTAIRwF_pSYRZrBm8Pcw2dr-=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.961322,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59CX8VHlFKbM, @Hayatun Nupus  kita nonton saja,2 tahun yang lalu,Sekar Jayanti,UC3RquFUDEeHrGC1G_1c5DBw,0,https://yt3.ggpht.com/ytc/AGIKgqM6pzqjZoFcrxi8vYSveQjsBJDHMkNE4D7qUTW1pw=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.961322,Non-Bull,39.55%,60.45%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59DGb1VQPowz,"Ini youtube emang ada fasilitas komen, jd wajar kalo ada komen dan jgn mewek kalo komen lu di komen lg ama orang.
Lanjut baku hantamnya",2 tahun yang lalu,ndy1211,UCFktVb8HU5uees46vWdinaw,0,https://yt3.ggpht.com/ytc/AGIKgqMHZKt-Bx4LimkTpCV8bxjv4im_hPJGZx8RpLHSEg=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.961322,Bull,13.96%,86.04%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59ED8hPatTlL,Hidup lu gmn? Udh bner blom? Kluarga lu gmn? Udh beres blm?,2 tahun yang lalu,Suma Sari,UCKAlNMLb9zGWUWN_ZYai2XA,0,https://yt3.ggpht.com/ytc/AGIKgqMDlBljr2H22ZSfxyK8wNx7hYnnIh0SktvGw8X2=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.961322,Bull,3.3%,96.7%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59G9wYtRGc4E," @Sara Carbonero  iya deh iya maksudnya nasehatin ya mbaak. Boleh sih nasehatin, tp jgn ngatain org tolol mbak. Dijaga juga ya mulutnya tsayy jgn judge org sembarangan hihi~~ 🤭",2 tahun yang lalu,Elizabeth Karina,UCFcND7QDXCJ1cuip6LZO9Kg,0,https://yt3.ggpht.com/ytc/AGIKgqPELicYdvNzVgPbWbwAXVuKOEmHjBL0RcnkAm8olA=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.979158,Bull,8.02%,91.98%
UgxSdbsRbqMmCuCGdJl4AaABAg.9BwggcpSRw59MFUsbrVFv0,Njir julid,2 tahun yang lalu,Ibnu Husen,UC_x2daiV1ptUfPKISzxi9WQ,0,https://yt3.ggpht.com/ytc/AGIKgqOH-lBzMeqLwh-qzlWJj_VPCjkOMRd-gQKA0ga-=s176-c-k-c0x00ffffff-no-rj,False,True,1619176837.979158,Non-Bull,39.55%,60.45%
UgxHwPcIy_f2h22Kdq54AaABAg,Jodoh itu cerminan dri,2 tahun yang lalu,Nur Khoriyah,UCeeWgG-iVORB1Gd6d2JDuGw,4,https://yt3.ggpht.com/ytc/AGIKgqPCNj0K2tE-wfhTQw5tNXjxIeoZbcwReQR0BQ=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.478071,Non-Bull,39.55%,60.45%
Ugzveb2Ghv6ne9ITwpN4AaABAg,yahhhh Abang Gofar udah di grepeh Nyai. padahal aku baru mau jadi fans nya Abang Gofar uuuyyy,2 tahun yang lalu,Davinna Audy,UCtX9Hfyxo0-3mCHSIJ7KMJg,0,https://yt3.ggpht.com/ytc/AGIKgqOwam9N7DTEraTFAC4lM35QI_5aX_h72wSmAg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.485619,Non-Bull,39.55%,60.45%
UgzZEBUKlkdy6SrA8np4AaABAg,kok gua g rela ya bang gofar sama nikita,2 tahun yang lalu,yuliy anie,UCOgQYEuA-AHMqgRLzUBP0eg,0,https://yt3.ggpht.com/ytc/AGIKgqM9juvcIuN2cwEz6ijGGNPcuD4A8H4GzmhWkJzD=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.494115,Non-Bull,39.55%,60.45%
UgxTrbyf_cpR01OmNXZ4AaABAg,Gk beradab.. heran manusia sampah gini bnyak yg muji baik,2 tahun yang lalu,Torik Alkatiri Alatiri,UCRh7am_tHOXHQAzhNEWm2Lw,3,https://yt3.ggpht.com/ytc/AGIKgqNXYfl7pUh6GzURv8svI0hH3VYUX1o3Z7gU-g=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.494115,Bull,0.25%,99.75%
UgzGjmvSt0ETquKzbN54AaABAg,Kata nya Niki suka bule..,2 tahun yang lalu,kartini dini,UCTCgKDDhcPDJwAX6w8QWPuQ,1,https://yt3.ggpht.com/ytc/AGIKgqPIVah-XJc1943WSv5keZbQvc1BiXHurecSMc6k_Q=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.494115,Non-Bull,39.55%,60.45%
Ugyc2ECTcG3FeTyeKit4AaABAg,"Siap siap klo dah ga deket, di buka aibnya semua",2 tahun yang lalu,Juliansyah Fajarlilah,UCVuxELW6xgY_5IkWdyyJHJw,16,https://yt3.ggpht.com/ytc/AGIKgqPjCuVgQ5RlNlsNpZBC5oqjx6_aoCkvXd-IAg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.494115,Non-Bull,39.55%,60.45%
Ugz0gfFUOymZG9EFda14AaABAg,"Astaghfirloh..kasian jiwa anak2nya melihat emaknya s.nti.g bgn kelakuannya,ngumbar mesra yg bkn mukhrim dan bangga dg auratnya",2 tahun yang lalu,Sharma Sabbisa,UC6d5AH9iT7LmjDXOYjYckoA,7,https://yt3.ggpht.com/ytc/AGIKgqMuhosYhhEefJdx_mduPNt-TXoof-oejuhcI3SN=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.51089,Non-Bull,39.55%,60.45%
UgxiL2vYn5KenqI1kFJ4AaABAg,Ati bang gofar ntar lu kena jebak😂,2 tahun yang lalu,Ancen Pranata,UCnxUAiKXsjV239Xmft43Avw,4,https://yt3.ggpht.com/ytc/AGIKgqPpq3FnIIf9RThBCYIBC-pY6zZvfXilnPgBWtr6=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.51089,Non-Bull,39.55%,60.45%
UgwSyU656hdVaNbfwb94AaABAg,"Ternyata dia juga punya selera nusantara, kwkwkwkwkwk",2 tahun yang lalu,Reini Wijaya,UCOcc24oaZPCwifR6H8okmWw,4,https://yt3.ggpht.com/ytc/AGIKgqNqoqPdPBTUoU81RkcoEdSfbAsHDrvYy8b93g=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.51089,Non-Bull,39.55%,60.45%
UgzleyMmr15mh7dG2Y94AaABAg,inilah akibat iq dibawa standar bodohnya alami😊🙏,2 tahun yang lalu,Babayaga Babayaga,UCmzSISBTnoXrQNw7mhuZfvg,2,https://yt3.ggpht.com/ytc/AGIKgqPlNmUGIW-TDvMvzkpdZoJ7HwxSJAltXXMh_g=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.525142,Non-Bull,39.55%,60.45%
Ugz1mfI_Vww3QGJp3cp4AaABAg,"Gw cmn ksihan ma ank²x aj ,pnya ibu yg sinting n gk bermartabat gt",2 tahun yang lalu,property plus Suramadu,UCxsww3rXXtEnz8jRB1Z1-QA,4,https://yt3.ggpht.com/ytc/AGIKgqOJQzFxZWiKsWNZcGsaUbqsHgTisxUqzQOtBpphXQ=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.52732,Non-Bull,39.55%,60.45%
Ugy4dYB5RMFVtlVdDAF4AaABAg,ywdhlah yea..yg enak2 dia..yg dosa jg dia..menang rugi jg dia..ngapain pda ribut..gak suka skip..klo suka tonton..jng nnton trs pda ngujat abcd..lah mlah pda nmbah dosa kalian sndri..,2 tahun yang lalu,Arif Yuniyanto,UCEV6NvGsJ-hvL6p_2B68nrA,51,https://yt3.ggpht.com/ytc/AGIKgqNx9PdP9URaV_-mZZRALUQoTATqllFq3KTlXw=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.52732,Non-Bull,87.94%,12.06%
UgxlyZCLLtgFqrVIrp94AaABAg,Nanti ada saatnya saling melaporkan #maybe,2 tahun yang lalu,Tmy Pratama,UCZ8DQsN0B-zAAw_41P1NH1Q,8,https://yt3.ggpht.com/ytc/AGIKgqOxDurxCXuZBt7af-z1iuPqRVdsy6GVEfd1pDw-5Q=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.52732,Non-Bull,39.55%,60.45%
UgxTXzF37UKMD1q7cqZ4AaABAg,2 orang keren,2 tahun yang lalu,jemi jems,UCW8FEIo5NAc_he8os2aDATg,2,https://yt3.ggpht.com/ytc/AGIKgqMhwi-2RO9heohMi38InAzgs1aPOHL2CKhFc7kipA=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.544317,Non-Bull,39.55%,60.45%
Ugzczki9j_lCIM6Tn4x4AaABAg,"Memang perempuan ngak beras
Amit2,punya anak perempuan .",2 tahun yang lalu,Norma Pokaton,UCyFU1ew9iFmV5Y4llHpEUwg,4,https://yt3.ggpht.com/ytc/AGIKgqOHM5PCwjIQRGkuE26mOaXw072RbqES8S_HEA=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.544317,Non-Bull,39.55%,60.45%
Ugyf-kcYnifSK_OdNUF4AaABAg,Wow👏😊👍,2 tahun yang lalu,BayuThuBay Bayu Sastriawan Saputra Thu Bayu363,UCgiBW07zKMbbsV1Cf8IbOmQ,0,https://yt3.ggpht.com/ytc/AGIKgqNi1iwn_JpHFeKNK7FmsOnKXGJiVKoSJzBiC5CN=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.544317,Non-Bull,39.55%,60.45%
UgzNVvrHKyhWkDSTjVh4AaABAg,Mantap 👏😊👍,1 tahun yang lalu,BayuThuBay*BSS*? BayuBSS363,UCnEnZoIWi0uspjIOYu7inmQ,0,https://yt3.ggpht.com/ytc/AGIKgqMKKvViRGudL_9Q6WEfyeNK__IdVdD0mESH1QWm=s176-c-k-c0x00ffffff-no-rj,False,False,1650712838.556363,Non-Bull,39.55%,60.45%
UgzVKZSfawIbDJaYpIl4AaABAg,lumayan lh dapet menang banyk..mas gopar....hajar teruss,2 tahun yang lalu,ae di,UCQgTMckfXHXqvFhRVTXx_bA,1,https://yt3.ggpht.com/ytc/AGIKgqOKH8oT7cZS11DJLKAen-aOHfTObtpa3u1psA=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.5609,Non-Bull,39.55%,60.45%
UgxBHSchE1v8X5lAAZR4AaABAg,Cocok ember ama ember... Wkwk,2 tahun yang lalu,Macan,UCQYiAWTVqYt6U-dkMNc6GuQ,4,https://yt3.ggpht.com/ytc/AGIKgqNK2kLP3HjGQvhw4b_PGoCXTV6vDKl4hmdPbPiH2Q=s176-c-k-c0x00ffffff-no-rj,False,False,1619176838.5609,Non-Bull,39.55%,60.45%
Ugz0gfFUOymZG9EFda14AaABAg.9CAslwxAqYr9CGm4ucoyR8,anda tuhan taa??,2 tahun yang lalu,Ojhonk hore hore,UChBE8XdRMRhmyJMtCKml0Kw,0,https://yt3.ggpht.com/ytc/AGIKgqMe6cOxwTFan2ySatZ8yjVDuAJQOfDq-Wu2mPwmCQ=s176-c-k-c0x00ffffff-no-rj,False,True,1619176838.927292,Non-Bull,39.55%,60.45%
UgwSyU656hdVaNbfwb94AaABAg.9CBMaKn6iBW9CGtJMwE81T,😄😂😁,2 tahun yang lalu,Ernie Heine,UCG6eTs7vPXhKddLh2NrnLVw,1,https://yt3.ggpht.com/ytc/AGIKgqNp_TaIlA_NJlDVS1x3tTusB7geJepGBV1G3DqLSA=s176-c-k-c0x00ffffff-no-rj,False,True,1619176839.327856,Non-Bull,39.55%,60.45%
